invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-14698400009,2018-09-27,5034,LIQUOR TOBACCO & GROCERIES,18 N MONROE AVE,MASON CITY,50401,POINT(-93.208614 43.152301),17,CERRO GORDO,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-33212200026,2021-01-05,5691,LOGAN AVE CONVENIENCE STORE / WATERLOO,735 LOGAN AVE,WATERLOO,50703.0,POINT(-92.337744 42.510453),7,BLACK HAWK,1082100.0,IMPORTED CORDIALS & LIQUEURS,192.0,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-24366400024,2020-01-06,5405,KUM & GO #524/ CORALVILLE,2600 HOLIDAY RD,CORALVILLE,52241.0,POINT(-91.607454 41.700517),52,JOHNSON,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-36208900012,2021-04-28,3521,AMERISTAR CASINO / COUNCIL BLUFFS,2200 RIVER ROAD,COUNCIL BLUFFS,51501.0,POINT(-95.909384 41.242291),78,POTTAWATTAMIE,1700000.0,TEMPORARY & SPECIALTY PACKAGES,65.0,JIM BEAM BRANDS,522,MAKERS MARK W/HOLIDAY ORNAMENT,6,750,17.5,26.25,24,630.0,18.0,4.75
INV-23456500001,2019-11-25,4001,WAL-MART 1787 / CARROLL,2014 KITTY HAWK AVE,CARROLL,51401.0,POINT(-94.893501 42.081312),14,CARROLL,1701100.0,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,1400,CROWN ROYAL W/2 GLASSES,6,750,15.07,22.61,24,542.64,18.0,4.75
INV-23187200023,2019-11-12,5153,OAK STREET STATION LLC,2403 US HWY 18,INWOOD,51240,,60,LYON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,259.0,HEAVEN HILL BRANDS,2229,CHRISTIAN BROS HOLIDAY NOG,12,750,4.47,6.71,24,161.04,18.0,4.75
INV-27075900015,2020-05-07,4677,COSTCO WHOLESALE #1111 / CORALVILLE,2900 HEARTLAND DR,CORALVILLE,52241.0,POINT(-91.614941 41.698028),52,JOHNSON,1012300.0,SINGLE MALT SCOTCH,240.0,WILLIAM GRANT & SONS INC,4356,BALVENIE 12YR DOUBLEWOOD,12,750,34.0,51.0,24,1224.0,18.0,4.75
INV-35898700001,2021-04-16,4057,TEQUILA'S LIQUOR STORE,1434 DES MOINES ST STE 5,DES MOINES,50316.0,POINT(-93.59704 41.594713),77,POLK,1012200.0,SCOTCH WHISKIES,260.0,DIAGEO AMERICAS,4626,BUCHANAN DELUXE 12YR,12,750,20.99,31.49,24,755.76,18.0,4.75
INV-24008300013,2019-12-18,4806,GIRI'S LIQUOR STORE / WEST LIBERTY,"1006, N COLUMBUS ST",WEST LIBERTY,52776.0,POINT(-91.260581 41.578585),70,MUSCATINE,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,4626,BUCHANAN DELUXE 12YR,12,750,20.99,31.49,24,755.76,18.0,4.75
INV-40265800004,2021-09-21,5444,MARSHALL BEER WINE SPIRITS,11 N 3RD AVE,MARSHALLTOWN,50158.0,POINT(-92.908013 42.050021),64,MARSHALL,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,4626,BUCHANAN DELUXE 12YR,12,750,20.99,31.49,24,755.76,18.0,4.75
